,user,text,favorite_count,retweet_count,created_at
90,elonmusk,@gurgavin Munger could’ve invested in Tesla at ~$200M valuation when I had lunch with him in late 2008,7303,493,2023-02-26 02:44:29+00:00
91,elonmusk,@gurgavin Starts with a T …,52815,1543,2023-02-26 02:41:50+00:00
92,elonmusk,@EvaFoxU @KanekoaTheGreat How did he get elected?,2322,151,2023-02-26 02:39:07+00:00
93,elonmusk,@micsolana ⚜️,2014,108,2023-02-26 02:16:14+00:00
94,elonmusk,https://t.co/nBq4YHkaK4,31094,3000,2023-02-26 00:07:11+00:00
95,elonmusk,Disturbingly accurate,22474,1086,2023-02-26 00:06:14+00:00
96,elonmusk,@cb_doge @BillyM2k @JustinScerini 🏴‍☠️,1509,112,2023-02-26 00:04:58+00:00
97,elonmusk,https://t.co/OV8oI8vAIS,136373,10956,2023-02-26 00:04:10+00:00
98,elonmusk,@BillyM2k @JustinScerini Tumblr especially,1624,74,2023-02-26 00:02:28+00:00
99,elonmusk,@DomitrosH @WholeMarsBlog lol true,939,54,2023-02-25 22:57:32+00:00
100,elonmusk,@WholeMarsBlog 🎯,3759,198,2023-02-25 22:56:53+00:00
101,elonmusk,@TrungTPhan 🤣,3124,96,2023-02-25 22:34:19+00:00
102,elonmusk,@SmokeAwayyy Yikes,2447,123,2023-02-25 22:33:24+00:00
103,elonmusk,@jordanbpeterson !!,9380,733,2023-02-25 22:31:30+00:00
104,elonmusk,@teslaownersSV Doesn’t seem real even when you’re standing right next to it,13513,509,2023-02-25 22:28:44+00:00
105,elonmusk,@rick_doobs 🔥,1534,83,2023-02-25 22:09:30+00:00
106,elonmusk,@KanekoaTheGreat @DavidSacks Any to add or modify @CommunityNotes?,1821,165,2023-02-25 22:08:33+00:00
107,elonmusk,@69dogecoin Deepfakes are getting so good I can’t tell if this is real,4489,140,2023-02-25 21:49:11+00:00
108,elonmusk,@69dogecoin Couldn’t reach the toilet paper 😢,1323,63,2023-02-25 21:48:13+00:00
109,elonmusk,https://t.co/5wIbOXFs1e,785198,69995,2023-02-25 21:45:13+00:00
110,elonmusk,@andst7 🤣🤣,2287,100,2023-02-25 21:44:10+00:00
111,elonmusk,This meme is a for loop,26800,1201,2023-02-25 21:02:29+00:00
112,elonmusk,https://t.co/mMIaVMJsfY,475108,34926,2023-02-25 19:43:47+00:00
113,elonmusk,Roth IRA vs Wrath IRA,14341,802,2023-02-25 19:41:42+00:00
114,elonmusk,"But which is actually harder, defeating inflation or defeating the British … ?",24139,1544,2023-02-25 19:37:12+00:00
115,elonmusk,Inflation Reduction Act (IRA) vs Irish Republican Army (IRA) https://t.co/WKAftArwnW,103877,5982,2023-02-25 19:35:34+00:00
116,elonmusk,@billmaher Now is the time to fight the anti-human woke mind virus with everything!,25004,3849,2023-02-25 19:29:32+00:00
117,elonmusk,@IhloKapitan @prof_freedom 🤣,3476,162,2023-02-25 19:18:50+00:00
118,elonmusk,@cb_doge @KrummAndreas @prof_freedom 🤣,1805,158,2023-02-25 19:10:29+00:00
119,elonmusk,@KrummAndreas @prof_freedom Viking energy!,4415,645,2023-02-25 19:05:59+00:00
120,elonmusk,@EVeerkamp @prof_freedom 🤣,2992,99,2023-02-25 19:04:54+00:00
121,elonmusk,@mista98berk @prof_freedom 🔥,2560,119,2023-02-25 19:03:32+00:00
122,elonmusk,"@ScottAdamsSays Simultaneously, an interesting question and a tongue twister!",8660,443,2023-02-25 18:41:59+00:00
123,elonmusk,@BillyM2k https://t.co/q3ciVDa3oM,11964,479,2023-02-25 18:38:02+00:00
124,elonmusk,https://t.co/uRRapLN6S3,101421,9223,2023-02-25 17:48:14+00:00
125,elonmusk,https://t.co/I8f20JbkXu,113119,6803,2023-02-25 17:37:27+00:00
126,elonmusk,@ShitpostGate 🤣🤣,5145,192,2023-02-25 10:06:35+00:00
127,elonmusk,"@KanekoaTheGreat That election was arguably dodgy, but no question that there was indeed a coup",34929,4406,2023-02-25 09:47:43+00:00
128,elonmusk,@KanekoaTheGreat @DavidSacks Accurate assessment by @DavidSacks,8119,1007,2023-02-25 09:41:56+00:00
129,elonmusk,@Tesmanian_com New metal,30668,1325,2023-02-25 09:34:35+00:00
130,elonmusk,@__SeriousGemini 😂,4629,214,2023-02-25 01:03:15+00:00
131,elonmusk,@TheRabbitHole84 Kids were put in jail for this?,100853,6404,2023-02-25 01:02:35+00:00
132,elonmusk,"@Storm4Congress This idiotic algorithm change has been reverted. 

It also caused my account engagement to drop by a factor of ten, because it was based on absolute number of blocks, not blocks as a percentage of followers.

This meant any large account that posted anything “controversial” was… https://t.co/PXgmk42npX",49725,3023,2023-02-25 00:54:18+00:00
133,elonmusk,@BillyM2k @dogeofficialceo !!!,2338,155,2023-02-25 00:06:13+00:00
134,elonmusk,@dogeofficialceo This can’t be real,24152,929,2023-02-24 23:55:30+00:00
135,elonmusk,@ilove_aviation A380 looks like it already ate a few 737’s,26860,644,2023-02-24 23:54:18+00:00
136,elonmusk,@BillyM2k @stillgray 🎯,3760,177,2023-02-24 23:13:09+00:00
137,elonmusk,"@RalphNader Ralph Nader, you are lying – shame on you! I personally provided almost all Tesla funding, based on my proceeds from PayPal, from Series A in 2004 until Series C in 2007.

In late 2008, I gave Tesla the last money I had. It was that or the company would have died. We closed that… https://t.co/fi2GdWER0d",289732,22900,2023-02-24 22:47:08+00:00
138,elonmusk,@kcoleman Cool,3139,156,2023-02-24 21:35:22+00:00
139,elonmusk,@BillyM2k !!,5974,171,2023-02-24 21:08:36+00:00
140,elonmusk,@Teslaconomics Death threats should result in immediate account suspension. Lmk if that’s not happening.,12954,857,2023-02-24 19:42:01+00:00
141,elonmusk,@gunsnrosesgirl3 Stoic score 10/10,8292,263,2023-02-24 19:31:24+00:00
142,elonmusk,@m0nick 🤣🤣 Dad jokes ftw,7505,205,2023-02-24 19:30:24+00:00
143,elonmusk,"I have unblocked everyone I blocked, apart from scammers. I recommend others do the same.

Negative feedback is a good thing.",336801,28210,2023-02-24 19:29:25+00:00
144,elonmusk,"@WholeMarsBlog Ramping production (as always) will be the challenge, not demand",10722,505,2023-02-24 19:15:43+00:00
145,elonmusk,@monitoringbias Disturbing,52522,2188,2023-02-24 18:12:21+00:00
146,elonmusk,@googlephotos Stalin would’ve loved this feature https://t.co/cizT09xxty,156330,7023,2023-02-24 17:51:27+00:00
147,elonmusk,@adage @WPP That’s great to hear!,5201,254,2023-02-24 17:46:19+00:00
148,elonmusk,Space Elevator https://t.co/RNbdSzXSGz,129935,8305,2023-02-24 06:23:17+00:00
149,elonmusk,Check out my spicy 🌶️ 🔥 OnlyGANs!! https://t.co/b9lnJSEnvo,240886,19726,2023-02-24 06:01:12+00:00
150,elonmusk,@BillyM2k @TheUnderDoge3 😠,5680,212,2023-02-24 05:46:49+00:00
151,elonmusk,@derek_j_morris @pmarca Major problem,1213,77,2023-02-24 03:47:04+00:00
